56,14,CAP-0056,Fielded
57,15,CAP-0057,Near-Fielded
58,15,CAP-0058,Developmental
59,16,CAP-0059,Near-Fielded
60,16,CAP-0060,Experimental
61,16,CAP-0061,Fielded
62,16,CAP-0062,Developmental
63,16,CAP-0063,Experimental
64,16,CAP-0064,Experimental
65,16,CAP-0065,Fielded
66,16,CAP-0066,Near-Fielded
67,16,CAP-0067,Near-Fielded
68,16,CAP-0068,Developmental
69,16,CAP-0069,Experimental
70,16,CAP-0070,Fielded
71,16,CAP-0071,Near-Fielded
72,16,CAP-0072,Near-Fielded
73,16,CAP-0073,Near-Fielded
74,16,CAP-0074,Near-Fielded
75,17,CAP-0075,Developmental
76,17,CAP-0076,Fielded
77,17,CAP-0077,Developmental
78,17,CAP-0078,Near-Fielded
79,17,CAP-0079,Developmental
80,17,CAP-0080,Developmental
81,17,CAP-0081,Experimental
82,17,CAP-0082,Experimental
83,17,CAP-0083,Fielded
84,17,CAP-0084,Fielded
85,17,CAP-0085,Near-Fielded
86,17,CAP-0086,Near-Fielded
87,17,CAP-0087,Developmental
88,17,CAP-0088,Developmental
89,17,CAP-0089,Near-Fielded
90,17,CAP-0090,Experimental
91,17,CAP-0091,Developmental
92,17,CAP-0092,Experimental
93,17,CAP-0093,Experimental
94,18,CAP-0094,Near-Fielded
95,18,CAP-0095,Developmental
97,19,CAP-0097,Experimental
98,19,CAP-0098,Fielded
99,19,CAP-0099,Developmental
100,19,CAP-0100,Developmental
101,19,CAP-0101,Near-Fielded
102,19,CAP-0102,Near-Fielded
103,19,CAP-0103,Fielded
104,19,CAP-0104,Developmental
105,19,CAP-0105,Experimental
106,19,CAP-0106,Experimental
107,19,CAP-0107,Developmental
108,19,CAP-0108,Developmental
109,19,CAP-0109,Near-Fielded
110,19,CAP-0110,Developmental
111,19,CAP-0111,Experimental
112,19,CAP-0112,Near-Fielded
113,19,CAP-0113,Experimental
114,19,CAP-0114,Experimental
115,19,CAP-0115,Experimental
116,19,CAP-0116,Developmental
117,19,CAP-0117,Experimental
118,19,CAP-0118,Developmental
119,19,CAP-0119,Near-Fielded
120,19,CAP-0120,Experimental
121,19,CAP-0121,Experimental
122,19,CAP-0122,Developmental
123,19,CAP-0123,Experimental
124,19,CAP-0124,Near-Fielded
125,19,CAP-0125,Near-Fielded
126,19,CAP-0126,Developmental
127,19,CAP-0127,Near-Fielded
128,19,CAP-0128,Experimental
129,19,CAP-0129,Developmental
130,19,CAP-0130,Experimental
131,19,CAP-0131,Experimental
132,19,CAP-0132,Near-Fielded
133,19,CAP-0133,Experimental
134,19,CAP-0134,Near-Fielded
135,19,CAP-0135,Experimental
136,19,CAP-0136,Developmental
137,19,CAP-0137,Developmental
138,19,CAP-0138,Experimental
139,19,CAP-0139,Developmental
