72,TC-00098,CWIX 2021,*********************,Success,f
874,TC-00457,CWIX 2022,*********************,Success,f
1656,TC-00842,CWIX 2022,*********************,Success,f
2606,TC-01331,CWIX 2022,*********************,Success,f
2887,TC-01624,CWIX 2022,*********************,Success,f
2954,TC-01691,CWIX 2022,*********************,Success,f
3103,TC-02041,CWIX 2021,*********************,Success,f
3734,TC-02015,CWIX 2022,*********************,Success,f
4619,TC-02408,CWIX 2022,*********************,Success,f
5430,TC-03581,CWIX 2021,*********************,Success,f
5966,TC-03302,CWIX 2022,*********************,Success,f
6786,TC-03662,CWIX 2022,*********************,Success,f
7005,TC-03954,CWIX 2022,*********************,Limited Success,f
7451,TC-04738,CWIX 2021,*********************,Success,f
7718,TC-04187,CWIX 2022,*********************,Success,f
8028,TC-04819,CWIX 2021,*********************,Success,f
8997,TC-04976,CWIX 2022,*********************,Success,f
9433,TC-05765,CWIX 2021,*********************,Success,f
11729,TC-06614,CWIX 2022,*********************,Not Tested,f
12120,TC-07046,CWIX 2021,*********************,Success,f
12948,TC-20305,CWIX 2022,*********************,Not Tested,f
13396,TC-07824,CWIX 2021,*********************,Not Tested,f
13744,TC-20601,CWIX 2022,*********************,Success,f
14159,TC-08086,CWIX 2021,*********************,Not Tested,f
14379,TC-08304,CWIX 2021,*********************,Success,f
14668,TC-50229,CWIX 2022,*********************,Success,f
17247,TC-09663,CWIX 2021,*********************,Success,f
17439,TC-09854,CWIX 2021,*********************,Not Tested,f
17733,TC-51812,CWIX 2022,*********************,Success,f
17806,TC-51893,CWIX 2022,*********************,Success,f
17947,TC-52035,CWIX 2022,*********************,Not Tested,f
18021,TC-52109,CWIX 2022,*********************,Success,f
18229,TC-10141,CWIX 2021,*********************,Success,f
19256,TC-10662,CWIX 2021,*********************,Not Tested,f
19643,TC-53037,CWIX 2022,*********************,Success,f
19952,TC-53910,CWIX 2022,*********************,Success,f
20111,TC-11027,CWIX 2021,*********************,Success,f
21044,TC-54839,CWIX 2022,*********************,Success,f
23700,TC-56111,CWIX 2022,*********************,Success,f
24449,TC-13362,CWIX 2021,*********************,Success,f
25342,TC-13757,CWIX 2021,*********************,Success,f
25946,TC-57659,CWIX 2022,*********************,Success,f
26668,TC-58432,CWIX 2022,*********************,Success,f
26809,TC-58578,CWIX 2022,*********************,Not Tested,f
27269,TC-59083,CWIX 2022,*********************,Success,f
27867,TC-59776,CWIX 2022,*********************,Success,f
28269,TC-60184,CWIX 2022,*********************,Success,f
28708,TC-60650,CWIX 2022,*********************,Success,f
29170,TC-61120,CWIX 2022,*********************,Success,f
29564,TC-61526,CWIX 2022,*********************,Success,f
29799,TC-61763,CWIX 2022,*********************,Success,f
30024,TC-61989,CWIX 2022,*********************,Success,f
30946,TC-62917,CWIX 2022,*********************,Success,f
31021,TC-62993,CWIX 2022,*********************,Success,f
1,TC-00001,CWIX 2021,*********************,Not Tested,f
2,TC-00002,CWIX 2021,*********************,Success,f
3,TC-00003,CWIX 2021,*********************,Success,f
